,f_score,p_score
B_0,0.0750421657091,3.10670654756e-13
B_1,0.00824407440686,0.0156648032803
B_2,0.387499802512,1.59633291373e-61
B_3,0.27025789391,1.77192821628e-43
B_4,0.00833707906534,0.0150894275157
B_5,0.00190404653248,0.245474244268
B_6,0.000955168162965,0.410735429001
B_7,4.54996898048e-06,0.954724729541
B_max,0.129305790218,1.09542059508e-21
B_min,1.05684107845e-06,0.97817065239
B_median,0.465636423456,1.59283348362e-73
G_0,0.00798502184969,0.0173897016419
G_1,0.0215701940462,9.27326398919e-05
G_2,0.0484748692244,4.64743272707e-09
G_3,0.00558877960075,0.0466169463582
G_4,0.325422127067,5.64106242062e-52
G_5,0.521762030574,3.91168679063e-82
G_6,0.0857347542823,6.62148287229e-15
G_7,0.00123980453326,0.348663652688
G_max,0.0101600006861,0.00730141340531
G_min,0.00221866216348,0.209951870966
G_median,0.0204329063671,0.000142131110942
R_0,0.0364252633532,3.78780604411e-07
R_1,0.0568933276169,2.18697513162e-10
R_2,0.00103393148099,0.392084050482
R_3,0.000400127859461,0.594439738699
R_4,0.0291817310375,5.45672686452e-06
R_5,0.246582614886,7.93225036469e-40
R_6,0.243834605003,2.10547170876e-39
R_7,0.0395292400674,1.21470006942e-07
R_max,0.0450237172125,1.63312562767e-08
R_min,0.104487758123,7.89788686338e-18
R_median,0.00869297720915,0.0130811463723
H_0,0.0282467044409,7.71306742049e-06
H_1,0.00720060424684,0.0239127475276
H_2,0.0123195795551,0.00313531187717
H_3,0.000779004510392,0.457553930897
H_4,0.176105830427,6.12237857985e-29
H_5,0.279620353888,6.38861387008e-45
H_6,0.502808955294,3.15419843169e-79
H_7,0.0101027671614,0.00746828417764
H_max,0.00964937109376,0.00893599731691
H_min,1.0,3.31818252736e-155
H_median,0.080779873539,3.9352639666e-14
S_0,0.091515308205,8.29600888347e-16
S_1,0.12890642883,1.2635216585e-21
S_2,0.000658671778525,0.494544188457
S_3,0.549405799507,2.26317557028e-86
S_4,7.13844260281e-05,0.822072282905
S_5,0.00413745842275,0.0868909030327
S_6,0.0859524683243,6.12297733628e-15
S_7,0.0603954612845,6.15248710636e-11
S_max,0.05355899811,7.32767112655e-10
S_min,0.0594884086583,8.54351214289e-11
S_median,0.181826585273,7.9771627984e-30
V_0,0.0137309108265,0.00181611125133
V_1,0.0535007682964,7.48416392259e-10
V_2,0.0185827490917,0.000285490981532
V_3,0.019470817427,0.000204174973814
V_4,0.0108791381625,0.00550168044633
V_5,0.136342544524,8.86074111718e-23
V_6,0.170453511684,4.58858671713e-28
V_7,0.0278839477477,8.82247503703e-06
V_max,0.0166192597809,0.000601108355419
V_min,0.0828819102474,1.84719943565e-14
V_median,0.00746215329886,0.0214947703826
