,f_score,p_score
B_0,0.107183771963,7.36294180761e-05
B_1,0.251595504229,1.25471264812e-09
B_2,0.198296141257,6.97771434486e-08
B_3,0.0856466341954,0.00039456065072
B_4,0.250458368712,1.36668174285e-09
B_5,0.0489906427531,0.00735780621771
B_6,0.0178951639423,0.1052550429
B_7,0.000666141071125,0.75462977723
B_max,0.182984510508,2.22546655682e-07
B_min,0.00113556388024,0.683226275377
B_median,0.420551147887,4.12784616468e-15
G_0,0.000100904319924,0.903183726678
G_1,0.0110346227667,0.203360453126
G_2,0.0686991851798,0.0015045025724
G_3,0.142209910712,4.96728909173e-06
G_4,0.996487003233,1.33139467035e-33
G_5,0.564934554831,9.14701664253e-20
G_6,0.000217238158997,0.858345434838
G_7,0.00221218132147,0.568981772067
G_max,0.000168911477274,0.874944407726
G_min,0.000178045094232,0.871636389234
G_median,0.480707244661,4.72159376822e-17
R_0,0.00938657465113,0.240712927752
R_1,0.0131863210982,0.164366595366
R_2,0.061806107393,0.0026091038512
R_3,0.0011825296528,0.677104432271
R_4,0.149193144405,2.91226300552e-06
R_5,0.404765945063,1.33632582105e-14
R_6,0.281451639689,1.33424909629e-10
R_7,0.0015541190774,0.633090837655
R_max,0.00935211371769,0.241578220862
R_min,0.00257395160664,0.538977478768
R_median,0.0591810560509,0.00322147540443
H_0,0.000438530061272,0.799816456267
H_1,0.0532873282051,0.00518586343225
H_2,0.0208487174481,0.0803830335474
H_3,0.000164212743684,0.876681941847
H_4,0.0643095582455,0.00213521514506
H_5,0.127421869999,1.54428253829e-05
H_6,0.0524215206865,0.00556350595281
H_7,0.0170783056788,0.113537427722
H_max,0.164948679365,8.7601726337e-07
H_min,0.00179030602478,0.60838971276
H_median,0.0846193587051,0.000427688372911
S_0,0.319803466322,7.55645371519e-12
S_1,0.00138033797787,0.652782727557
S_2,0.269909553256,3.17107655331e-10
S_3,0.663791178197,6.07896016632e-23
S_4,0.161563289521,1.13358856914e-06
S_5,0.00312675442538,0.498326034798
S_6,0.66144027958,7.23308416828e-23
S_7,0.0928143653672,0.000225149702113
S_max,0.350437082417,7.665500235e-13
S_min,1.0,1.02791663263e-33
S_median,0.269098957887,3.36995886114e-10
V_0,0.0113113207735,0.197785956232
V_1,0.00841787004046,0.266559250217
V_2,0.0614356509728,0.00268778743364
V_3,0.0082557969276,0.271212860225
V_4,0.20770844206,3.42506023334e-08
V_5,0.340263285756,1.63829809842e-12
V_6,0.25460312802,1.00086777011e-09
V_7,9.60064606032e-05,0.90555138396
V_max,0.0130488445228,0.166582984654
V_min,0.00196316762426,0.591585851409
V_median,0.138974238719,6.36378711559e-06
