,f_score,p_score
B_1,0.40240048146,2.08418020398e-283
B_2,0.178508127842,1.33420181726e-127
B_3,0.12193648086,6.60112993533e-88
B_4,0.173989877379,1.95065540588e-124
B_5,0.0673258354282,1.9871598688e-49
B_6,0.0929171312235,1.75202702946e-67
B_7,0.223115116323,8.41892081935e-159
B_min,0.438326794804,3.1288686001e-308
B_median,0.341248836589,4.81279476841e-241
G_6,0.329733510082,4.73684541931e-233
G_7,0.0861079391386,1.10412005773e-62
G_min,0.171417883934,1.23656515498e-122
R_1,0.434225281724,2.12301748221e-305
R_3,0.330292970301,1.93658656555e-233
R_4,0.273125372535,1.1026368184e-193
R_5,0.323617932092,8.36602614924e-229
R_6,0.226575524603,3.22365166749e-161
R_7,0.0933916440736,8.11312167605e-68
R_min,0.190152724446,9.38505121793e-136
H_0,0.0130832322494,7.038975557e-11
H_1,0.0251583187938,1.57221484291e-19
H_2,0.00764052617334,6.26791650982e-07
H_3,0.000340095973661,0.293092528718
H_4,0.0553943333557,5.41718701295e-41
H_5,0.0582815024859,4.91249353857e-43
H_6,0.0618054972047,1.58285787757e-45
H_7,0.0189105179023,4.5834158262e-15
H_max,0.0224145471144,1.42887440382e-17
H_min,0.0935482106128,6.29318641349e-68
H_median,0.0303958440092,2.91934783976e-23
S_0,0.0130950588164,6.90208951364e-11
S_1,0.00917919247495,4.72428210989e-08
S_2,0.0102106026528,8.41269493645e-09
S_3,0.168003190559,3.05583797852e-120
S_4,0.0288346703685,3.77228266968e-22
S_5,0.000160471604846,0.470177632544
S_6,0.0848480358827,8.53867849819e-62
S_7,0.125248167486,3.10254794528e-90
S_max,0.0104510514324,5.6303843237e-09
S_min,0.0788028614555,1.56826919781e-57
S_median,0.000867329505101,0.0931597871328
V_1,0.39882253256,6.21951340395e-281
V_2,0.415209700488,2.90301600297e-292
V_3,0.300465173392,1.03309515846e-212
V_4,0.300115229927,1.80932092304e-212
V_5,0.237448117732,8.27148790655e-169
V_6,0.248579217878,1.41664209434e-176
V_7,0.263401503502,6.56435585158e-187
