,f_score,p_score
B_0,0.145570174494,7.27737539136e-19
B_1,0.000251396557507,0.71231320137
B_2,0.475888793266,8.27146133107e-58
B_3,0.3394904755,8.98023850698e-42
B_4,0.023430322284,0.000371193220547
B_5,0.000418271994821,0.634327273722
B_6,0.00137061010952,0.389230951409
B_7,0.00176146361449,0.329020665055
B_max,0.258923947992,2.81358885116e-32
B_min,0.0014472796848,0.376282393903
B_median,0.623419690227,4.11967072491e-75
G_0,0.00378882226007,0.152276452631
G_1,0.00494499803121,0.101958643295
G_2,0.129908933568,5.28787923821e-17
G_3,0.0931248883845,1.28655214614e-12
G_4,0.0571220539562,2.73225929428e-08
G_5,0.235652373375,1.57316280527e-29
G_6,0.0675607555561,1.50179187282e-09
G_7,0.00229442153211,0.26527565022
G_max,0.0100507256323,0.0197248353345
G_min,0.00400763895204,0.140941577788
G_median,0.0200630610788,0.00098746228777
R_0,0.00425366780296,0.12931419147
R_1,0.017545020309,0.00206687909328
R_2,0.0181817602849,0.00171359641303
R_3,0.00876595282194,0.029448129301
R_4,0.0138991732004,0.00611041870104
R_5,0.116929675996,1.85473637097e-15
R_6,0.139993803851,3.34489779427e-18
R_7,0.00645787709129,0.0616327447504
R_max,0.00290982494158,0.209645659004
R_min,0.0591288913418,1.56261897187e-08
R_median,0.00312985239969,0.19322191599
H_0,0.021164892794,0.000716176451995
H_1,0.0123905623736,0.0096329052146
H_2,0.0210751070165,0.000735139586995
H_3,0.00139376835551,0.385254022543
H_4,0.162439552938,7.24516338322e-21
H_5,0.249167345495,3.98896792941e-31
H_6,0.422637409027,1.48941272219e-51
H_7,0.00422613115006,0.130560742879
H_max,0.0128603458617,0.00835561527236
H_min,1.0,3.94353029361e-119
H_median,0.0678804166526,1.37439617432e-09
S_0,0.0840140907482,1.58554955977e-11
S_1,0.134775568198,1.39500053534e-17
S_2,0.0190099914531,0.00134375561243
S_3,0.267656720981,2.62327852424e-33
S_4,0.0109121702558,0.015123808211
S_5,0.000476364398817,0.611732604543
S_6,0.128091442276,8.6993046119e-17
S_7,0.199421247985,3.01797568249e-25
S_max,0.0672750507492,1.62563081113e-09
S_min,0.0670270543798,1.74138657356e-09
S_median,0.146209751518,6.10973487492e-19
V_0,0.000538025201677,0.589573315019
V_1,0.0218569948399,0.000585642389608
V_2,0.0375509801341,6.59397031895e-06
V_3,0.0335452592503,2.05073984354e-05
V_4,0.00246667103903,0.24806290732
V_5,0.0609967509853,9.29384600005e-09
V_6,0.101794260526,1.18416225136e-13
V_7,0.00852306969132,0.0317886239718
V_max,1.29357466862e-05,0.933337195681
V_min,0.0546531292728,5.43755141589e-08
V_median,0.0526207811962,9.58812491559e-08
