,f_score,p_score
B_0,0.0468046491417,1.13918295585e-09
B_1,0.0240741512598,1.25991482854e-05
B_2,0.338452740898,3.85346428939e-60
B_3,0.258572174674,2.15638932214e-46
B_4,0.00770876037896,0.0134638370658
B_5,0.00196163006218,0.212527982922
B_6,0.00180983118692,0.231135685874
B_7,0.00199889943842,0.208235943756
B_max,0.0890306093028,4.61213437608e-17
B_min,0.00490016997484,0.0488023974681
B_median,0.469071135525,1.44623182188e-82
G_0,0.0313232572082,6.3219515662e-07
G_1,0.0611896497141,3.3715109408e-12
G_2,0.0359177381377,9.61504233474e-08
G_3,0.0113247688709,0.00274204557875
G_4,0.461262712191,3.15657635613e-81
G_5,0.905586049356,3.79265526245e-157
G_6,0.161170145061,1.4023359169e-29
G_7,0.000402253178858,0.572394492463
G_max,0.0455194928951,1.9200427254e-09
G_min,0.00279037082223,0.137057492177
G_median,0.0256128541677,6.65835732368e-06
R_0,0.0790283280674,2.55839318102e-15
R_1,0.107339729026,3.00878016879e-20
R_2,0.00113168669816,0.343696272141
R_3,0.000140368342024,0.738771226348
R_4,0.0507691029676,2.28109855098e-10
R_5,0.387424279987,1.48219609839e-68
R_6,0.40061667549,8.04518741821e-71
R_7,0.067528612464,2.615461635e-13
R_max,0.103933420082,1.17612601893e-19
R_min,0.173869207485,8.92485077947e-32
R_median,0.0211105407576,4.32537701734e-05
H_0,0.0146146500036,0.00066748673355
H_1,0.0014033870709,0.291679724075
H_2,0.0192698265315,9.34307718161e-05
H_3,0.00102015588174,0.368642888084
H_4,0.0954473392859,3.52018472219e-18
H_5,0.274512773298,3.87117092302e-49
H_6,0.593325153704,7.5536074242e-104
H_7,0.0169376642516,0.000249254785334
H_max,0.00821673001139,0.0107297999749
H_min,1.0,3.24634864264e-173
H_median,0.10667949817,3.91858175288e-20
S_0,0.175791866194,4.15162746462e-32
S_1,0.192308653995,5.81000496872e-35
S_2,0.0308676883939,7.62357995033e-07
S_3,0.99563146521,1.79626579898e-172
S_4,0.0794964437181,2.11968418786e-15
S_5,0.000525930424454,0.518599484887
S_6,0.14875497187,1.97522354651e-27
S_7,0.00120845737943,0.327838382991
S_max,0.0825645600168,6.18021822189e-16
S_min,0.0908685456186,2.20674521768e-17
S_median,0.299588031599,1.86639505e-53
V_0,0.0503370291904,2.7177025262e-10
V_1,0.0981182879556,1.20721997181e-18
V_2,0.00064061628112,0.476206055387
V_3,0.00769822568182,0.0135275687002
V_4,0.0225347247791,2.38892781623e-05
V_5,0.19512911371,1.89249687545e-35
V_6,0.275899369382,2.23384313587e-49
V_7,0.0557223616401,3.07062139676e-11
V_max,0.0642023542559,9.99746145806e-13
V_min,0.156784338238,8.04889659525e-29
V_median,4.06897250984e-07,0.9856749609
