,f_score,p_score
B_0,0.0601573784471,3.53026788413e-10
B_1,0.00491858725746,0.07279553425
B_2,0.30242660098,6.96705162956e-45
B_3,0.0345497913893,1.98801582231e-06
B_4,0.0249896664224,5.25993095776e-05
B_5,0.0117006274856,0.0056556416393
B_6,0.00651049316292,0.0390067179681
B_7,0.000114070498569,0.784679888441
B_max,0.105848368295,8.75187761854e-17
B_min,0.000679645999838,0.504821735196
B_median,0.0311463023255,6.34902136364e-06
G_0,0.0320362285509,4.68435865274e-06
G_1,0.0393942175231,3.83481029159e-07
G_2,0.0461774054613,3.87127268868e-08
G_3,0.0206356236281,0.000238146634075
G_4,0.56204761203,9.63383917769e-82
G_5,1.0,1.36360479429e-143
G_6,0.258376757154,1.31258215487e-38
G_7,0.00650561225662,0.0390801307907
G_max,0.0464800106492,3.49570544903e-08
G_min,0.0197146039508,0.000328466408229
G_median,0.162101446061,7.3948708589e-25
R_0,0.0949992767546,3.19905008344e-15
R_1,0.135872391513,4.24605497851e-21
R_2,0.000723177207726,0.491484939007
R_3,0.000917970672973,0.438290822112
R_4,0.102488987391,2.66551770972e-16
R_5,0.383401505476,2.12103112338e-56
R_6,0.430489736345,4.35267935312e-63
R_7,0.100099945499,5.88704491881e-16
R_max,0.121193032847,5.4383793656e-19
R_min,0.244315523679,1.32749097071e-36
R_median,0.0698289698493,1.39104332316e-11
H_0,0.00684822236979,0.0342619830021
H_1,0.00799331161165,0.0221888600848
H_2,0.0197772962937,0.000321346661209
H_3,0.00191911872856,0.262422166653
H_4,0.0393846223827,3.84730205255e-07
H_5,0.073954544686,3.51176524235e-12
H_6,0.106853802694,6.27168153674e-17
H_7,0.00476966195581,0.0772715585816
H_max,0.0313639573617,5.89379535659e-06
H_min,0.311471383632,3.59377575198e-46
H_median,0.0193568633234,0.00037224814887
S_0,0.18468601066,4.34041617123e-28
S_1,0.0841940429903,1.1600251368e-13
S_2,0.000307941110473,0.65348996566
S_3,0.935460673314,1.68790232523e-134
S_4,0.268173830966,5.26954805408e-40
S_5,0.0157754600658,0.00131367250357
S_6,0.328326296946,1.43583078652e-48
S_7,0.0289802229868,1.33286759886e-05
S_max,0.138197073347,1.97016705905e-21
S_min,0.302039726714,7.90908681398e-45
S_median,0.2411474625,3.75734600253e-36
V_0,0.0679882434161,2.57217433073e-11
V_1,0.125028253233,1.52952759939e-19
V_2,0.00941946787949,0.0130364186807
V_3,0.000281263907937,0.667898740122
V_4,0.0855824660298,7.30978253338e-14
V_5,0.224340163198,9.39585274491e-34
V_6,0.32120113801,1.482131117e-47
V_7,0.0701430243632,1.25258759606e-11
V_max,0.0915323361315,1.01167884724e-14
V_min,0.206363652362,3.46422367679e-31
V_median,0.0364261552837,1.05006050454e-06
