,f_score,p_score
B_0,0.0172141057623,0.00105469084909
B_1,0.00269304018746,0.195109269847
B_2,0.0915778037857,4.23561935976e-14
B_3,0.0565682073046,2.89959891202e-09
B_4,0.000738025171561,0.497611805857
B_5,0.00137489066172,0.354581148071
B_6,0.000872920539241,0.460734927322
B_7,0.00133492522411,0.36167077978
B_max,0.0266719583803,4.55949821809e-05
B_min,0.00224800209692,0.236520325916
B_median,0.0855386887996,2.87017885687e-13
G_0,0.0645479033411,2.26794049579e-10
G_1,0.016958003629,0.00114975076036
G_2,0.020735823765,0.000324439096959
G_3,0.087944649608,1.33882875797e-13
G_4,0.582626563529,9.8368190352e-81
G_5,1.0,6.80290114121e-137
G_6,0.221526044889,7.55830767104e-32
G_7,0.000715648960773,0.504203099877
G_max,0.1067889469,3.44956979608e-16
G_min,0.00240159169836,0.221141538878
G_median,0.299484906035,1.94819782089e-42
R_0,0.0848551317825,3.56477313358e-13
R_1,0.0317801256582,8.57094196931e-06
R_2,0.0328573327059,6.03422940615e-06
R_3,0.0412598025759,3.96191133661e-07
R_4,0.141960602283,5.28332066644e-21
R_5,0.355504603841,4.95963081845e-50
R_6,0.340767417843,4.9233193383e-48
R_7,0.0432246524182,2.1019520068e-07
R_max,0.125398525901,9.72540749414e-19
R_min,0.140470001575,8.44533842339e-21
R_median,0.221782905033,6.97409451433e-32
H_0,0.0206091748263,0.000338414005878
H_1,0.00183751877721,0.28452335458
H_2,0.00598681588431,0.0533920839272
H_3,0.0117161562054,0.00688582884625
H_4,0.192582027146,6.57356764487e-28
H_5,0.295260834931,7.2896115362e-42
H_6,0.337018894445,1.58588616198e-47
H_7,0.0395519350093,6.87918542687e-07
H_max,0.000581539084254,0.547129151472
H_min,0.931033239223,1.23758298235e-127
H_median,0.185155642184,6.75237869601e-27
S_0,0.0997425170156,3.19822795236e-15
S_1,0.155052600577,8.60559531947e-23
S_2,0.000558048552931,0.555336542752
S_3,0.719602958634,3.37784872429e-99
S_4,0.084130308703,4.48592560296e-13
S_5,0.000131718909585,0.77446704155
S_6,0.115566201982,2.15970819098e-17
S_7,7.03388646e-06,0.947206932045
S_max,0.0463296944052,7.73396040253e-08
S_min,0.0446955404853,1.30861268404e-07
S_median,0.153244816772,1.51908634175e-22
V_0,0.0494915107072,2.79992858014e-08
V_1,0.03292644472,5.89998105469e-06
V_2,0.00535397180236,0.0677313756763
V_3,0.00699610964289,0.0367776501528
V_4,0.0805988841609,1.37536517684e-12
V_5,0.142082289164,5.08484852156e-21
V_6,0.215327912971,5.26715520371e-31
V_7,0.0244860779382,9.36380953865e-05
V_max,0.0764289089119,5.16998254135e-12
V_min,0.108355001769,2.10355544912e-16
V_median,0.111194014175,8.58326447128e-17
