,f_score,p_score
B_0,0.0168476642477,1.40066979994e-21
B_1,0.123873002058,6.28575277221e-147
B_2,0.0550480235309,1.48370499706e-66
B_3,0.0186599439907,9.99023069853e-24
B_4,0.0256259479148,5.84608574816e-32
B_5,0.0115364861591,2.85861471065e-15
B_6,0.00591296505193,1.56496875806e-08
B_7,0.00134794038933,0.00693523102576
B_max,0.0194000881789,1.32897155622e-24
B_min,0.00369221460012,7.8853883985e-06
B_median,0.00627909292742,5.65463637927e-09
G_0,0.251011532943,5.64394537701e-294
G_1,0.256053458232,9.0167699605e-300
G_2,0.0323981910085,6.07460555723e-40
G_3,0.0311136167807,1.97971614538e-38
G_6,0.251828328311,6.4917903129e-295
G_7,0.00216789502778,0.000617136622711
G_min,0.00541210402611,6.31758492909e-08
G_median,0.159729334477,1.41853955286e-188
R_2,0.0983554643607,3.35949846425e-117
R_3,0.0413704853726,1.69036809395e-50
R_4,0.0898972931106,2.49744309413e-107
R_5,0.267625311124,4.58219903684e-313
R_7,0.0622710495081,5.07632576832e-75
R_min,0.163894687889,2.10402262461e-193
R_median,0.137928469473,2.85799802833e-163
H_0,0.0184343150107,1.84804757023e-23
H_1,0.00617036454389,7.64927309421e-09
H_2,0.00133474846004,0.00721628266823
H_3,0.00483267652342,3.18998136651e-07
H_4,0.0214895548635,4.48985390608e-27
H_5,0.0550484428027,1.48202624907e-66
H_6,0.0774285606871,9.25026587914e-93
H_7,2.00883223988e-06,0.916984837132
H_max,0.026965828815,1.53471473428e-33
H_min,0.242491464199,3.57047314798e-284
H_median,0.015175078811,1.34914100494e-19
S_0,0.14890301111,5.14495760135e-176
S_1,4.85843266702e-05,0.608230823462
S_2,0.0969314379135,1.54019523807e-115
S_4,0.15389140698,8.37114464951e-182
S_5,0.00187095635622,0.00146835590105
S_6,0.191752186028,1.19255419513e-225
S_7,0.136373414407,1.8324236682e-161
S_max,0.148419576569,1.87288374327e-175
S_min,0.147775095026,1.04859884916e-174
S_median,0.187697791219,5.8145902794e-221
V_0,0.239170792341,2.36977735678e-280
V_2,0.0586562523937,8.73423012437e-71
V_3,0.0161071831467,1.05741951435e-20
V_4,0.0588380549591,5.34743019234e-71
V_5,0.148602555687,1.14847474055e-175
V_6,0.220224294484,1.59667582755e-258
V_7,0.0480673429327,2.2998118651e-58
V_min,0.138262382712,1.16974784606e-163
V_median,0.0829393193025,3.34776980697e-99
