,f_score,p_score
B_0,0.155072122523,2.25509284322e-38
B_1,0.00656770432334,0.00764259334239
B_2,0.161104274959,8.5064155742e-40
B_3,0.329132498167,2.59553002325e-79
B_4,0.28775509337,1.33471169762e-69
B_5,0.0875194228154,2.16016230484e-22
B_6,0.0506106281095,1.32785164406e-13
B_7,0.00668164244816,0.00713446710664
B_max,0.238664015234,4.59151470704e-58
B_min,0.0205110917742,2.43288666393e-06
B_median,1.0,1.45790825023e-235
G_0,0.0164127289749,2.48001989447e-05
G_1,0.00435289578947,0.029883806446
G_2,0.0335105169923,1.69488193401e-09
G_3,0.0594604951169,1.02137556808e-15
G_4,0.00381474003976,0.0420561992315
G_5,0.0236645062271,4.12709484909e-07
G_6,0.00785202386597,0.00353843718558
G_7,0.000960262652923,0.307731320933
G_max,0.0199579067851,3.32437881803e-06
G_min,0.000133743731261,0.703453186957
G_median,0.0485487418561,4.13563438007e-13
R_0,0.000505319636501,0.459346702899
R_1,0.000464491683799,0.478074950864
R_2,0.00523523004402,0.0172392829475
R_3,0.00146981213467,0.206976840286
R_4,0.00110378140391,0.274146640695
R_5,0.0125914352367,0.000221337448665
R_6,0.0298847714386,1.27429411731e-08
R_7,0.0089213528905,0.00187803539029
R_max,0.000566402912834,0.433410777848
R_min,0.0323676512036,3.19906818433e-09
R_median,0.000755591426471,0.365578091475
H_0,0.0145796853712,7.06136927867e-05
H_1,0.0156509771778,3.82821155427e-05
H_2,0.00269316919674,0.0876048008403
H_3,0.0118668183656,0.000336441821067
H_4,0.240684041049,1.5377704494e-58
H_5,0.418719563249,2.6494554334e-100
H_6,0.428238808898,1.56784558695e-102
H_7,0.0524498233163,4.82331347427e-14
H_max,0.0772348454235,5.98639956464e-20
H_min,0.875859341745,8.40238081467e-207
H_median,0.325060592945,2.3410682038e-78
S_0,0.0547131206247,1.38831405746e-14
S_1,0.250048592294,9.65989125372e-61
S_2,0.01096738625,0.000566952591703
S_3,0.356035899827,1.27560965947e-85
S_4,0.246771422023,5.69466710138e-60
S_5,0.0393546385993,6.63395906541e-11
S_6,0.0185534032696,7.35580832717e-06
S_7,0.0159320223076,3.26126799071e-05
S_max,0.00783806487625,0.00356796731575
S_min,0.00433275966774,0.0302654803205
S_median,0.110941407711,6.06900975895e-28
V_0,0.00865241947367,0.00220114803101
V_1,0.000802133375798,0.351214230108
V_2,0.012242299519,0.00027076976133
V_3,0.0173066359659,1.49178258545e-05
V_4,0.00912027464908,0.0016703336969
V_5,0.00722535255171,0.00514483981422
V_6,2.65400612724e-05,0.865346379923
V_7,0.000522845513808,0.451663338801
V_max,0.0101195620071,0.00092946074744
V_min,0.0105764095945,0.000711890209546
V_median,0.0451517912454,2.69312021571e-12
