,f_score,p_score
B_0,0.00998335750585,2.58438646587e-06
B_1,0.0588573926191,3.71703783912e-30
B_2,0.203092318392,1.88341658664e-99
B_3,0.17697235622,6.01057183673e-87
B_4,0.0102347761844,1.93423463796e-06
B_5,0.0013261634633,0.0865965864734
B_6,0.00346469305571,0.00560969757275
B_7,0.00424365432831,0.00217429644965
B_max,0.0236059299493,4.88711172704e-13
B_min,0.00898369649313,8.20324653165e-06
B_median,0.337901481451,9.28548295319e-164
G_0,0.0720175338231,1.63655641442e-36
G_1,0.128732112314,8.25171029375e-64
G_2,0.00510058005356,0.000777801041548
G_3,0.0126421338953,1.22080086228e-07
G_4,0.193726306613,5.71187472812e-95
G_5,0.67342670308,2.32210853545e-322
G_6,0.23346848432,5.6566105023e-114
G_7,0.00708851133966,7.44404152802e-05
G_max,0.0960136005678,4.45336115818e-48
G_min,0.0118119844261,3.15831377195e-07
G_median,0.0051573167699,0.000726935330394
R_0,0.132425922474,1.38873988083e-65
R_1,0.178093595671,1.74516802745e-87
R_2,0.0200537833156,2.69025018138e-11
R_3,0.00325364045844,0.00727290516438
R_4,0.0286745649979,1.63405722639e-15
R_5,0.227083413369,6.36094252771e-111
R_6,0.31850008817,1.58748565239e-154
R_7,0.0791148619383,6.17083768969e-40
R_max,0.170051705603,1.24339130495e-83
R_min,0.222131791035,1.47958251899e-108
R_median,0.0260285020282,3.19686142949e-14
H_0,0.0424281970031,3.35313692317e-22
H_1,0.00138394158077,0.0800214963704
H_2,4.67717929605e-05,0.747587569491
H_3,0.0118095060636,3.16729901689e-07
H_4,0.0682879945154,1.03305657712e-34
H_5,0.146024137549,4.12638737185e-72
H_6,0.259516235516,2.06527184545e-126
H_7,0.00312973264312,0.00847637380271
H_max,0.000323059499014,0.397668479035
H_min,0.552529317946,1.93145819489e-265
H_median,0.089649662352,5.16747393871e-45
S_0,0.156133588943,5.83958205138e-77
S_1,0.154706506842,2.8232228734e-76
S_2,0.0598696859813,1.20458208584e-30
S_4,0.332937402625,2.13539150195e-161
S_5,0.0207857919737,1.17652172596e-11
S_6,0.187780917047,4.00687710147e-92
S_7,0.11153155805,1.52249674346e-55
S_max,0.0985240734948,2.75557172874e-49
S_min,0.078545197205,1.16154976537e-39
S_median,0.243949192472,5.57737262324e-119
V_0,0.107295907452,1.65795950547e-53
V_1,0.184928040435,9.30578895472e-91
V_2,0.00765331639284,3.84816452544e-05
V_3,1.82359192953e-05,0.840737811377
V_4,0.0111350303877,6.86733807473e-07
V_5,0.111688055226,1.2802812524e-55
V_6,0.220948998124,5.43913742041e-108
V_7,0.0694346745121,2.88768002394e-35
V_max,0.137950383386,3.09233756166e-68
V_min,0.203912495784,7.63076375857e-100
V_median,0.00270695383465,0.014355660654
