,f_score,p_score
B_0,0.0127592949025,6.97575874975e-05
B_1,0.0172578954853,3.74084263544e-06
B_2,0.175878891879,2.90626469618e-49
B_3,0.0813373859251,1.0369592216e-23
B_4,0.00294829565314,0.0558911845788
B_5,0.00403655674991,0.0252819652731
B_6,0.00294173083383,0.0561649626621
B_7,0.000360125637754,0.50400393769
B_max,0.024894443013,2.77713324587e-08
B_min,0.00159091336296,0.160188954657
B_median,0.103382202464,1.09790714309e-29
G_0,0.0674292708441,6.22947524627e-20
G_1,0.0692732400178,1.96319509076e-20
G_2,0.00121408500178,0.219865489129
G_3,0.00570381653506,0.00783242080468
G_4,0.48409339929,6.50318950754e-132
G_5,1.0,6.37597625302e-269
G_6,0.226116878884,8.67772450657e-63
G_7,0.000307237596169,0.537109504955
G_max,0.0955538256314,1.44803600164e-27
G_min,0.00284331713174,0.0604444106299
G_median,0.111474347573,7.08815260046e-32
R_0,0.108052293026,5.97693221206e-31
R_1,0.117538745026,1.62276325241e-33
R_2,0.00966125651943,0.000538549529439
R_3,0.00514958590583,0.0115133155526
R_4,0.0858838707274,6.05617823217e-25
R_5,0.324951417556,2.50151059142e-89
R_6,0.383190122394,6.22647641633e-105
R_7,0.0680817467679,4.13984348804e-20
R_max,0.145000304419,6.18530806001e-41
R_min,0.196563305598,7.78821446579e-55
R_median,0.0747200069437,6.49522640479e-22
H_0,0.0186849861849,1.48912737765e-06
H_1,0.00201982335031,0.113543092067
H_2,0.00354729750384,0.0359829357394
H_3,0.00569260089879,0.00789344279477
H_4,0.0470097536715,2.30033632352e-14
H_5,0.0918992097339,1.41634202096e-26
H_6,0.200523632913,6.68601455602e-56
H_7,0.00984321095121,0.000477186963293
H_max,0.00940392129949,0.00063919312839
H_min,0.518453074656,4.36752550163e-141
H_median,0.0644328433021,4.07134254729e-19
S_0,0.146772472425,2.0560676209e-41
S_1,0.138155276227,4.35872686719e-39
S_2,0.0177827648292,2.66501718895e-06
S_3,0.996422254302,5.61776700681e-268
S_4,0.187807802707,1.77567887032e-52
S_5,0.00200232820138,0.115118388144
S_6,0.206084173522,2.12981004811e-57
S_7,0.032913765176,1.69135780064e-10
S_max,0.105514610808,2.9060658218e-30
S_min,0.108414658432,4.76887681693e-31
S_median,0.244347632864,1.0880415027e-67
V_0,0.0863850671674,4.42850114696e-25
V_1,0.118590294848,8.4316898879e-34
V_2,0.00188597024216,0.126231208153
V_3,0.000249849391842,0.577820308433
V_4,0.0627544626111,1.16577884718e-18
V_5,0.176108578417,2.52020180136e-49
V_6,0.280422725574,2.21641328263e-77
V_7,0.0492276827232,5.69570262432e-15
V_max,0.120236273567,3.0261116119e-34
V_min,0.172680848437,2.11478501883e-48
V_median,0.0397575475913,2.22689346548e-12
