,f_score,p_score
B_0,0.00844425627436,1.48640195628e-09
B_1,0.0700864225786,8.4041348001e-68
B_2,0.0377007806337,2.46995502975e-37
B_3,0.288058565575,1.6637205306e-270
B_4,0.328713448652,6.01343980516e-308
B_5,0.0353116607733,4.43897547352e-35
B_6,0.00737016654818,1.6198682002e-08
B_7,0.00190536706309,0.00407625024084
B_max,0.0158887932052,1.11274227772e-16
B_min,0.011514152206,1.67219210892e-12
G_0,0.0350954951779,7.10135162559e-35
G_1,0.0632897740768,2.02780195647e-61
G_2,0.00109385878951,0.0295353070025
G_3,0.0256518249273,6.00648007423e-26
G_4,0.0143813852147,3.04239399352e-15
G_5,0.341859123496,4.9599250186e-320
G_6,0.0689771435306,9.24334052906e-67
G_7,2.45255560848e-07,0.974003641735
G_max,0.0454611761442,1.19470533292e-44
G_min,9.74898178843e-07,0.948197095631
G_median,0.00718587358069,2.44265734544e-08
R_0,0.0581826240082,1.2781876404e-56
R_1,0.0587134874312,4.05089515857e-57
R_2,0.0159557720729,9.60729875195e-17
R_3,0.00515858689456,2.29327297964e-06
R_4,0.0188757315179,1.60312920517e-19
R_5,0.121258951051,1.03269133014e-115
R_6,0.183372828097,1.38796604557e-173
R_7,0.0257481635526,4.86859592873e-26
R_max,0.0748324787734,2.95547871152e-72
R_min,0.0870604144505,1.01400608882e-83
R_median,0.0199718498159,1.45813510802e-20
H_0,0.0368165518439,1.68647463146e-36
H_1,0.000239901152459,0.308113815212
H_2,3.30353625223e-05,0.705277080313
H_3,0.00945433948937,1.58352907172e-10
H_4,0.182145209464,1.92053800395e-172
H_5,0.299645717312,3.45613148825e-281
H_6,0.264733455348,5.65018267434e-249
H_7,0.00600265643047,3.43985618296e-07
H_max,0.00351892783965,9.49383830714e-05
H_median,0.169889440735,4.79484895953e-161
S_0,0.0546219522325,2.84967350272e-53
S_1,0.0959936072422,4.35973677255e-92
S_2,0.0265665019563,8.17932174805e-27
S_4,0.0892043590248,9.94068475883e-86
S_5,0.00167768826936,0.00703572547044
S_6,0.0493383140882,2.6692954102e-48
S_7,0.0203883150421,5.86676065975e-21
S_max,0.0298022178446,7.11016136951e-30
S_min,0.0103138781012,2.36553807672e-11
S_median,0.113075345052,4.57737749902e-108
V_0,0.037806914631,1.96137446443e-37
V_1,0.0732754508477,8.54149970104e-71
V_2,0.00984371235833,6.68944424141e-11
V_3,0.00078873796593,0.0646034094235
V_4,0.00138697679902,0.0142637426152
V_5,0.0160743693605,7.4072022457e-17
V_6,0.0822050468532,3.60206852294e-79
V_7,0.0104384071744,1.79650753608e-11
V_max,0.0505550293917,1.91062468596e-49
V_min,0.0465564220946,1.1109337732e-45
V_median,0.00516073480015,2.28219784471e-06
