,f_score,p_score
B_0,0.000513015797142,0.133066403012
B_1,0.0939025267787,1.61645418461e-91
B_2,0.157648309512,5.70937561906e-152
B_3,0.125730718592,9.63326278409e-122
B_4,0.000284458177986,0.263338182723
B_5,0.00198686282595,0.00311608770306
B_6,0.00107588236003,0.0296084633658
B_7,0.000211824539844,0.334431178498
B_max,0.00284091226769,0.000408273033458
B_min,0.000486060807935,0.143707003871
B_median,0.199778178322,9.44765102405e-192
G_0,0.108459786325,2.36548743398e-105
G_1,0.154830331523,2.6434099359e-149
G_2,0.000364384454266,0.205527369676
G_3,0.00259689305406,0.000726232243383
G_6,0.227531797057,6.89983216593e-218
G_7,0.00148566820577,0.0105826779588
G_max,0.141214093009,2.04426451338e-136
G_min,0.00324434869263,0.000158537464865
G_median,0.0338339460725,3.45014755985e-34
R_0,0.152777314445,2.31488139025e-147
R_1,0.179497388768,1.28612873965e-172
R_2,0.0298182519924,2.46306466524e-30
R_3,0.00470248537804,5.42937343023e-06
R_4,0.0594504991711,1.07699378797e-58
R_5,0.315788696957,1.20291473259e-300
R_7,0.0770781808334,1.66788247312e-75
R_max,0.194221605214,1.63956248641e-186
R_min,0.230807535731,5.72214581998e-221
R_median,0.0346421180219,5.79158518551e-35
H_0,0.0285350133013,4.2065141537e-29
H_1,0.00117143672802,0.0232179238558
H_2,0.000560802265054,0.116294201438
H_3,0.0105081467575,1.06736060198e-11
H_4,0.0537282861898,3.14156514269e-53
H_5,0.12669078123,1.18410410639e-122
H_6,0.224129838046,1.09557820085e-214
H_7,0.00393874762113,3.15613018464e-05
H_max,0.00214021634498,0.00215497598327
H_median,0.0749346873158,1.83819804268e-73
S_0,0.146073316751,5.12193013585e-141
S_1,0.0911108160889,7.30921515264e-89
S_2,0.0765700826457,5.08411977262e-75
S_4,0.247162725463,2.42376563145e-236
S_5,0.00456208326733,7.4964239591e-06
S_6,0.156678630374,4.71799846867e-151
S_7,0.100432132923,1.00176718142e-97
S_max,0.102220507213,2.00076570823e-99
S_min,0.0656475868023,1.31368012817e-64
S_median,0.22870476464,5.43770677798e-219
V_0,0.123558719891,1.10574541101e-119
V_1,0.186094821111,7.61460933489e-179
V_2,0.013516718714,1.27236131735e-14
V_3,1.62466367449e-06,0.932632919946
V_4,0.031022714349,1.71848427588e-31
V_5,0.156678971749,4.71449190837e-151
V_6,0.275210001555,1.16033248816e-262
V_7,0.0551836026286,1.27891576332e-54
V_max,0.162309815546,2.23100035091e-156
V_min,0.186875671038,1.39564597013e-179
V_median,0.00629554113474,1.42874861685e-07
