,f_score,p_score
B_0,0.0254871256654,2.16267596785e-16
B_1,0.0429914141065,1.49423180922e-26
B_2,0.294619463685,1.33075545137e-170
B_3,0.218743986589,2.17733693078e-127
B_4,0.00853344023537,2.00431761664e-06
B_5,0.00265882919097,0.00797220203563
B_6,0.00497938591867,0.000282481446196
B_7,0.00564261015609,0.000111053944099
B_max,0.0542670818468,4.5189913691e-33
B_min,0.0117504692279,2.44401701287e-08
B_median,0.395425381656,8.8700836583e-228
G_0,0.0405333558721,3.96040743962e-25
G_1,0.111746237336,3.70555172083e-66
G_2,0.0391817732706,2.40298441855e-24
G_3,0.0487752920269,6.73715915261e-30
G_4,0.197210426522,4.2815564629e-115
G_6,0.209426461847,4.52592830251e-122
G_7,0.0043386504179,0.000700880885774
G_max,0.0512577380299,2.47515786104e-31
G_min,0.0102878615433,1.80221655256e-07
G_median,0.000156863787823,0.519268365116
R_0,0.100431782942,1.16874697441e-59
R_1,0.172072585515,1.00130275171e-100
R_2,0.00293886156665,0.00527957788142
R_3,0.000590368012551,0.211201601804
R_4,0.021773844306,3.16955136723e-14
R_5,0.230884431346,2.58680905744e-134
R_6,0.332320845761,5.12178906244e-192
R_7,0.077470908383,1.88348046523e-46
R_max,0.125182221716,7.21628484853e-74
R_min,0.213790312147,1.46156538241e-124
R_median,0.0034301472815,0.00258172164766
H_0,0.0305240212446,2.53677778321e-19
H_1,0.00526182076414,0.000189665281612
H_2,0.000974594173071,0.108187527853
H_3,0.00419689105311,0.000857883202745
H_4,0.0378847761515,1.35648664384e-23
H_5,0.103845817249,1.27689422181e-61
H_6,0.279337595236,6.53182221646e-162
H_7,0.00205375404157,0.0197061709565
H_max,0.0070316811896,1.59886800784e-05
H_min,0.547009964133,2.83613302258e-313
H_median,0.0610943441238,5.17518719457e-37
S_0,0.16959111317,2.63060716755e-99
S_1,0.168399277806,1.2644391297e-98
S_2,0.0379586939494,1.2290498322e-23
S_4,0.227171783513,3.38914299762e-132
S_5,0.0145572428133,5.38369989793e-10
S_6,0.226446255813,8.78829304326e-132
S_7,0.0437503628356,5.43408493102e-27
S_max,0.110896019322,1.14028968111e-65
S_min,0.11359203666,3.22975548222e-67
S_median,0.286657733859,4.47946463105e-166
V_0,0.0839036048119,3.73271831922e-50
V_1,0.176525314341,2.84402483905e-103
V_2,0.000645735912874,0.191015080653
V_3,0.0047166353306,0.00040967270799
V_4,0.00906677282978,9.62088957043e-07
V_5,0.120560706645,3.23345299677e-71
V_6,0.236057764068,2.9044177816e-137
V_7,0.0690180603081,1.39511884865e-41
V_max,0.104259209288,7.39046953733e-62
V_min,0.199846143403,1.33695834295e-116
V_median,0.00148764700177,0.0471815969394
