,f_score,p_score
B_0,0.345501010146,8.12474310604e-167
B_1,0.403584903178,2.57340820472e-194
B_2,0.156918889019,4.41271790417e-77
B_3,0.0362058745466,4.04069692701e-19
B_4,0.0209781823301,1.02586672273e-11
B_5,0.00501227941126,0.000881917331062
B_6,0.00665196040851,0.000127514535637
B_7,0.00894850910151,8.84971803775e-06
B_max,0.607439303461,2.3497393382e-290
B_min,0.0307760061609,1.73684773997e-16
B_median,0.133788466042,5.08137732003e-66
G_0,0.649873799668,2.94753082823e-310
G_1,0.368104404751,1.58891499064e-177
G_2,0.599443055296,1.33243933271e-286
G_3,0.600658858074,3.57973283073e-287
G_4,0.520270033684,2.23608877552e-249
G_5,0.291035905238,5.65933682961e-141
G_6,0.0857735297326,5.2567976491e-43
G_7,0.00584533034694,0.000328853814935
G_min,0.0178958840919,3.31269503968e-10
R_0,0.451507520508,5.85911441869e-217
R_1,0.28018810975,8.06631365178e-136
R_2,0.348041478596,5.07869924572e-168
R_3,0.260548137184,1.75278901521e-126
R_4,0.244543199192,7.21701977947e-119
R_5,0.267902936987,5.57549243832e-130
R_6,0.145510253035,1.25501903086e-71
R_7,0.030087879397,3.74915042913e-16
R_max,0.652023558564,2.89764278144e-311
R_min,0.0802472662449,2.37360291623e-40
R_median,0.65707793609,1.24103929865e-313
H_0,0.0122779656077,1.94225449459e-07
H_1,0.00915557851315,6.96898125627e-06
H_2,0.00123489724265,0.0987769566371
H_3,0.00048707288297,0.299843408949
H_4,1.14549800819e-05,0.873672615404
H_5,0.000107550769912,0.626127661132
H_6,0.00532198126748,0.000610486186295
H_7,0.000675665667415,0.222049124783
H_max,0.0203517371173,2.07677144843e-11
H_min,0.014436347014,1.66489280983e-08
H_median,0.00210850482953,0.0309994814322
S_0,0.0251408088757,9.55175807396e-14
S_1,0.0258111112549,4.50437975209e-14
S_2,0.0541964085086,8.19025493498e-28
S_3,0.335066723413,7.18468076321e-162
S_4,0.0339185414106,5.18820370806e-18
S_5,0.0193835612731,6.18251862682e-11
S_6,0.0177914357117,3.72748179956e-10
S_7,0.118969497846,6.31908355188e-59
S_max,0.0335639969268,7.70791442892e-18
S_min,0.0344968935711,2.72035063263e-18
S_median,0.0197017106232,4.31941162923e-11
V_0,0.401701359353,2.00121213286e-193
V_1,0.275492759694,1.37468056574e-133
V_2,0.248624527395,8.24330231666e-121
V_3,0.185998566771,5.7260037161e-91
V_4,0.20535195268,3.36301367045e-100
V_5,0.141496835138,1.04258243878e-69
V_6,0.110667949427,5.99945058945e-55
V_7,0.0354753496752,9.12855234955e-19
V_max,0.63443315772,5.09922286536e-303
V_min,0.112642379401,6.79061153206e-56
V_median,0.661198733682,1.45639837592e-315
