,f_score,p_score
B_0,0.00131516444668,0.252479019763
B_1,0.04183837666,1.09410212684e-10
B_2,0.0129191846046,0.000335202004869
B_3,0.177117093526,3.42856688995e-40
B_4,0.611645689389,8.1235294184e-134
B_5,0.105522143448,1.23252330133e-24
B_6,0.0439755350712,3.68912519708e-11
B_7,0.0236473533927,1.22224978149e-06
B_max,0.000138540486704,0.710328860511
B_min,0.072783586102,1.73049888875e-17
B_median,0.82559674009,1.3063142369e-179
G_0,0.0219931600448,2.87931474055e-06
G_1,0.000587271099351,0.444452424925
G_2,0.0100667297283,0.00154603819632
G_3,0.258395589738,8.74245477905e-58
G_4,1.0,8.20097885137e-217
G_5,0.477072836479,6.40780604331e-105
G_6,0.259781297074,4.38647641707e-58
G_7,0.0081335042495,0.00443083176013
G_max,0.0263331439114,3.05423732333e-07
G_min,0.0270700225071,2.08946799419e-07
G_median,0.610659426332,1.32207212954e-133
R_0,0.0534235682689,3.05512295912e-13
R_1,0.0369108108784,1.34827629392e-09
R_2,0.00010726969941,0.743803798761
R_3,0.019820009817,8.90872612987e-06
R_4,0.148779633166,4.82488793732e-34
R_5,0.281526556936,8.78123523375e-63
R_6,0.137223384948,1.56211250739e-31
R_7,0.0824645246205,1.32173874722e-19
R_max,0.0592022604205,1.64111219424e-14
R_min,0.156127813144,1.2253206997e-35
R_median,0.158109219384,4.55213330169e-36
H_0,0.000158012810912,0.69161944317
H_1,0.00790719040561,0.00501805690697
H_2,1.86863235995e-06,0.965593696177
H_3,0.000138517232278,0.710352075199
H_4,0.0390591248899,4.50663675311e-10
H_5,0.0409322586131,1.7353764285e-10
H_6,0.0320767598448,1.59706506942e-08
H_7,0.0190923249159,1.30181275894e-05
H_max,0.0264600902991,2.86081374786e-07
H_min,0.0153842774575,9.09105288486e-05
H_median,0.0404397898,2.23006061401e-10
S_0,0.0250642960118,5.87693368564e-07
S_1,0.000317776971892,0.573767624606
S_2,0.000380300496055,0.538313065738
S_3,0.0609909436367,6.64514332278e-15
S_4,0.0728176164378,1.70107366145e-17
S_5,0.0161355129775,6.1220671731e-05
S_6,0.128351081288,1.32512716155e-29
S_7,0.0480869716124,4.57063975339e-12
S_max,0.0172500336721,3.41077647753e-05
S_min,0.13363658236,9.40196288256e-31
S_median,0.000138068846803,0.710800128704
V_0,0.0542954759287,1.9646057581e-13
V_1,0.0294866859628,6.02992218803e-08
V_2,0.000450854538603,0.502844690644
V_3,0.0230765703563,1.64229827423e-06
V_4,0.215661130061,1.5319620718e-48
V_5,0.246704691666,2.94518058349e-55
V_6,0.149675208382,3.08338348251e-34
V_7,0.0948443900019,2.62124505972e-22
V_max,0.0592336437384,1.61527937995e-14
V_min,0.194000062278,7.51738746755e-44
V_median,0.224095860026,2.28934491188e-50
