,f_score,p_score
B_0,0.557616706331,1.7686650854e-98
B_1,0.546756452072,1.32254237094e-96
B_2,0.200932924541,1.01195107081e-36
B_3,0.21578540025,2.6408482859e-39
B_4,0.16052406909,1.10348731347e-29
B_5,0.00585177335448,0.0306574009295
B_6,0.000262276792313,0.647231100583
B_7,3.23759423127e-06,0.959450809271
B_max,0.889618475891,1.32039696927e-155
B_min,0.00121066942188,0.325523259486
B_median,0.654780247035,3.15171319567e-115
G_0,0.598376035873,1.6531276924e-105
G_1,0.428701172214,3.25973416597e-76
G_2,0.282678325724,6.36032146965e-51
G_3,0.416059031515,5.00654155491e-74
G_4,1.0,1.54730127652e-174
G_5,0.615210938794,2.07175492713e-108
G_6,0.0426671417238,5.35144357974e-09
G_7,0.000542385983738,0.510493762194
G_max,0.855157523897,1.08918493924e-149
G_min,0.000571183483757,0.499477018348
G_median,0.81211142674,2.70144763147e-142
R_0,0.3608143486,1.82108583132e-64
R_1,0.310050621382,1.1378035238e-55
R_2,0.20645259026,1.10890237239e-37
R_3,0.105072716761,5.37583451357e-20
R_4,0.15954897741,1.63221371971e-29
R_5,0.276042952815,9.01256040762e-50
R_6,0.172057652898,1.07791695971e-31
R_7,0.0114110826394,0.00254179881114
R_max,0.492134924428,3.55477160441e-87
R_min,0.0452968799787,1.8216482578e-09
R_median,0.267764055511,2.46440942723e-48
H_0,0.00394716490911,0.0758596140323
H_1,0.0120324261768,0.00193912856857
H_2,0.00211337971424,0.193949429703
H_3,0.000380349012285,0.581584087069
H_4,0.00342573585399,0.0981626401752
H_5,0.0190531831048,9.61557913696e-05
H_6,0.101772437548,2.03534151361e-19
H_7,0.0307948783839,7.11917001083e-07
H_max,0.0421652255331,6.57475028702e-09
H_min,0.091467321743,1.30517341858e-17
H_median,0.0421921029364,6.50265589569e-09
S_0,0.00298474552153,0.122657107389
S_1,0.401062480786,1.9669282348e-71
S_2,0.0950685961206,3.04703129868e-18
S_3,0.034439191712,1.57819694869e-07
S_4,0.277584759053,4.8673727523e-50
S_5,0.326961529171,1.3327614339e-58
S_6,0.00857305999867,0.00889098761722
S_7,0.0110900343727,0.00292453332612
S_max,0.0130858815936,0.00122831939739
S_min,0.00608052546302,0.0275713377579
S_median,0.00233654702258,0.171987069103
V_0,0.344901946884,1.03825886387e-61
V_1,0.337025150674,2.40389513463e-60
V_2,0.166228164425,1.11799412575e-30
V_3,0.0760848937777,6.58518448037e-15
V_4,0.122636196312,4.53945048058e-23
V_5,0.126607539091,9.17897542212e-24
V_6,0.115221149406,8.99249701614e-22
V_7,0.00861092888666,0.00874182304029
V_max,0.505986800407,1.44106755399e-89
V_min,0.036070310003,8.05488111735e-08
V_median,0.255566541034,3.23100032623e-46
