,f_score,p_score
B_0,0.416152592804,4.07563621543e-109
B_1,0.40287023746,1.04077574544e-105
B_2,0.113322042857,4.24200605419e-31
B_3,0.166889343281,5.76425381071e-45
B_4,0.193535429184,7.54519070055e-52
B_5,0.0240129663481,9.24659277831e-08
B_6,0.00639880758133,0.00582840441103
B_7,2.73065104075e-06,0.954576202273
B_max,0.672814063035,9.39109780931e-175
B_min,0.000640793459904,0.382894762225
B_median,0.620880996481,1.67615087394e-161
G_0,0.681606912828,5.37652799756e-177
G_1,0.55822791163,1.70137431429e-145
G_2,0.558851118855,1.17890155863e-145
G_3,0.245580155564,2.84971013017e-65
G_4,0.13808616211,1.62636833981e-37
G_5,0.166237628531,8.49564313863e-45
G_6,0.00996002958221,0.000581780790771
G_7,5.11106182846e-05,0.805346326311
G_max,1.0,6.4465490185e-258
G_min,3.20022598956e-06,0.950829990097
G_median,0.284710383826,2.38889262743e-75
R_0,0.425366534963,1.76722588494e-111
R_1,0.44336156446,4.30503906588e-116
R_2,0.396192562214,5.37916040506e-104
R_3,0.155988663326,3.79350177778e-42
R_4,0.0226715181559,2.10692106498e-07
R_5,6.72984320246e-05,0.777346123548
R_6,0.000228557398733,0.602279414393
R_7,0.00433687881874,0.0232079691354
R_max,0.619050366762,4.91693409059e-161
R_min,0.0149541050558,2.49816967903e-05
R_median,0.227069401984,1.68277427153e-60
H_0,0.000271940953542,0.569738733219
H_1,0.0203659925563,8.70963033038e-07
H_2,0.00284121979546,0.0661584603944
H_3,0.00118413947154,0.235558304611
H_4,0.0257973095782,3.0985913107e-08
H_5,0.0490910913524,2.24757487764e-14
H_6,0.108302135886,8.50553435006e-30
H_7,0.0116531012891,0.000198558283789
H_max,0.141406809801,2.24726535479e-38
H_min,0.0998333261632,1.34210863409e-27
H_median,0.104463166829,8.43125930806e-29
S_0,0.0254373056653,3.86261899379e-08
S_1,0.784727431891,2.91570227882e-203
S_2,0.160979410262,1.94322326552e-43
S_3,0.164709150593,2.11005378864e-44
S_4,0.0702556967156,6.63002730989e-20
S_5,0.26135226602,2.46476614208e-69
S_6,0.0176112965807,4.78314681526e-06
S_7,0.0809651426678,1.07699328584e-22
S_max,0.13957686568,6.68839663654e-38
S_min,0.11997903028,7.97295628063e-33
S_median,0.0284602477956,6.08522294481e-09
V_0,0.404257099539,4.58723631312e-106
V_1,0.447299242004,4.2145378661e-117
V_2,0.303961858875,2.66071126388e-80
V_3,0.118222951148,2.27420223922e-32
V_4,0.0269090607517,1.56968015134e-08
V_5,0.00270178959056,0.0731811072904
V_6,0.00103029590307,0.268540482844
V_7,0.00303960931687,0.0573791689937
V_max,0.644085847478,2.00176394853e-167
V_min,0.0132399092795,7.30688791647e-05
V_median,0.274495244906,1.0175941407e-72
