,f_score,p_score
B_0,0.311213978641,5.90365183882e-25
B_1,0.626148252609,1.87287718495e-48
B_2,0.0212648056935,0.00697734577016
B_3,0.000478898417138,0.68556102231
B_4,0.019144328463,0.0104707114767
B_5,0.0251702244092,0.00333315183351
B_6,0.0179205207531,0.0132597248788
B_7,0.00545303530642,0.171863019707
B_max,0.436849808885,2.39474544417e-34
B_min,0.0163754783567,0.0179063736386
B_median,0.00132278676465,0.50100562696
G_0,0.661849847236,4.13314072792e-51
G_1,1.0,3.217899193e-76
G_2,0.625014859698,2.27433387233e-48
G_3,0.0175689200506,0.0141946043162
G_4,0.627429906126,1.50360093243e-48
G_5,0.265427132086,1.59579675321e-21
G_6,0.263205544459,2.34237611018e-21
G_7,0.000570318017444,0.658601354447
G_max,0.88152555718,1.97415888103e-67
G_min,0.000189407010895,0.799008836947
G_median,0.20375223766,6.8780891982e-17
R_0,0.443197271187,8.0445279678e-35
R_1,0.77117714264,3.08391187431e-59
R_2,0.52646590144,4.96236413396e-41
R_3,0.065312405895,2.26830621735e-06
R_4,0.106536386632,1.55991014277e-09
R_5,0.371135113398,1.94046165582e-29
R_6,0.221536194028,3.15801029522e-18
R_7,0.150436042207,7.25254269261e-13
R_max,0.588692868299,1.14956057093e-45
R_min,0.449729839019,2.61811422524e-35
R_median,5.11886047282e-05,0.894689517607
H_0,0.00368938183505,0.261100828957
H_1,0.0158527995221,0.019834730746
H_2,0.000802718074995,0.600142976829
H_3,0.00666076599969,0.131049733558
H_4,0.0338737105365,0.000661534294627
H_5,0.107310803178,1.36167480091e-09
H_6,0.265172804976,1.66747038628e-21
H_7,0.0140045033799,0.0285633656839
H_max,0.170902236246,2.05963591594e-14
H_min,0.313135823098,4.23839343057e-25
H_median,0.174599825685,1.08318641996e-14
S_0,0.00397562231808,0.243382844245
S_1,0.93966894019,9.58228115755e-72
S_2,0.0581052441505,8.21581663432e-06
S_3,0.0742003725918,4.67242743868e-07
S_4,0.0118283572532,0.0442009577023
S_5,0.183818651413,2.1842318832e-15
S_6,0.024651922933,0.0036744030418
S_7,0.245988272431,4.59207024215e-20
S_max,0.107252969681,1.37556499552e-09
S_min,0.1213717891,1.15889366208e-10
S_median,0.0042720025225,0.226557356707
V_0,0.446027078054,4.94663916136e-35
V_1,0.7787651084,8.42140086214e-60
V_2,0.45973712373,4.69122172944e-36
V_3,0.0541373608181,1.67326410118e-05
V_4,0.0833090095496,9.31597459038e-08
V_5,0.146997845627,1.32034229153e-12
V_6,0.103435532195,2.68878259312e-09
V_7,0.0722804660847,6.56906902098e-07
V_max,0.630945478241,8.23232561223e-49
V_min,0.27649566435,2.359293633e-22
V_median,0.00104077419578,0.55058532572
