,f_score,p_score
B_0,0.0326457171812,2.54131431484e-21
B_1,0.0971417247202,5.0114760128e-60
B_2,0.00984117341016,1.92605498113e-07
B_3,9.81725422859e-06,0.869371640575
B_4,0.045065404749,8.30725945383e-29
B_5,0.00842865385694,1.44779287769e-06
B_6,0.00151457227577,0.0410869793977
B_7,0.00377831534606,0.0012545859282
B_max,0.062664015691,2.2193046273e-39
B_min,0.00148582549855,0.0430552022075
B_median,0.0265317916865,1.26386607151e-17
G_0,0.203154527744,3.50147971066e-123
G_1,0.129649803496,1.94414297931e-79
G_2,0.0548881100156,1.03317754129e-34
G_3,0.128479716092,9.6970952774e-79
G_6,0.201726927053,2.46681658361e-122
G_7,3.23581101543e-05,0.765267205016
G_max,0.332047837771,1.74916024128e-199
G_min,0.000184545269032,0.475827877133
G_median,0.421277013125,4.97486124782e-252
R_0,0.165247269019,1.20393321747e-100
R_1,0.146195276569,2.66431075848e-89
R_2,0.0531325913006,1.17166579425e-33
R_3,0.0360036585662,2.39058960959e-23
R_4,0.108383022517,9.60096115414e-67
R_5,0.263921776324,3.24382280727e-159
R_6,0.244581617689,9.271611228e-148
R_7,0.0262785988927,1.79894085468e-17
R_max,0.256887326494,4.74920622398e-155
R_min,0.111455293778,1.40401589018e-68
R_median,0.196529027431,3.01880747653e-119
H_0,0.00984787277363,1.90776224818e-07
H_1,0.00263722144526,0.00703122539901
H_2,0.000311201007742,0.354485242334
H_3,0.000524788223085,0.22921170772
H_4,0.013042745002,2.05420678974e-09
H_5,0.0370436719458,5.64017364351e-24
H_6,0.0620051856857,5.51464951867e-39
H_7,7.02175320767e-05,0.660064522342
H_max,0.0376510903107,2.42694587737e-24
H_min,0.140715761165,4.90808481525e-86
H_median,0.00335010922847,0.00238253430108
S_0,0.0694584310205,1.8685207998e-43
S_1,0.0117041120925,1.36554165103e-08
S_2,0.0963228271745,1.54726123814e-59
S_4,0.0115284175052,1.7517031872e-08
S_5,0.0525063165424,2.78685020855e-33
S_6,0.0577874590017,1.87515569017e-36
S_7,0.047175063882,4.46913629523e-30
S_max,0.117311694664,4.47423620257e-72
S_min,0.106394275706,1.48025636616e-65
S_median,0.13092861655,3.35757229233e-80
V_0,0.134277241477,3.38187435967e-82
V_1,0.151424619801,2.04343610949e-92
V_2,0.0233162156816,1.12326590988e-15
V_3,0.0128147327462,2.8353561108e-09
V_4,0.0754185475583,5.00990050386e-47
V_5,0.157721273047,3.6359398684e-96
V_6,0.184898335021,2.46562480346e-112
V_7,0.010404157685,8.64356210364e-08
V_max,0.229139057994,1.32590878113e-138
V_min,0.0717259907099,8.17248351061e-45
V_median,0.145558708541,6.38070752663e-89
