,f_score,p_score
B_0,0.000870466827244,0.0423594196603
B_1,0.0804359684986,1.50288527427e-84
B_2,0.108331142863,4.39451260758e-113
B_3,0.0432795653693,2.12105516013e-46
B_4,0.0112950389752,2.65362261323e-13
B_5,0.00463871526079,2.7890488754e-06
B_6,0.000846835021725,0.0452602477111
B_7,0.00127326456128,0.01408439834
B_max,0.00205826693421,0.00179969768952
B_min,0.000750688540547,0.0594102665937
B_median,0.0212887433,1.06929917456e-23
G_0,0.169631967995,1.56578454061e-175
G_1,0.180831047462,6.62631083086e-187
G_2,0.0088659442753,9.32343321023e-11
G_3,0.0142703220053,2.0847085845e-16
G_6,0.211197791359,1.08163387882e-217
G_7,1.70992381578e-05,0.776013632575
G_max,0.265541661222,1.33133547288e-272
G_min,0.000203463130498,0.3263774378
G_median,0.142540365318,5.65373649138e-148
R_0,0.184330978879,1.85778963653e-190
R_1,0.228779883821,1.74975033277e-235
R_2,0.0457354232243,6.29022689009e-49
R_3,0.0124634493534,1.59637688093e-14
R_4,0.0572180124269,9.83678574606e-61
R_5,0.212691666339,3.32255912736e-219
R_6,0.248487741119,2.13990654264e-255
R_7,0.0310390819339,8.81648177866e-34
R_max,0.270616367022,1.02032369363e-277
R_min,0.125262648286,2.29514431007e-130
R_median,0.0876274057158,6.50253562413e-92
H_0,0.0159224393898,3.97625736e-18
H_1,0.00214744381161,0.0014309405961
H_2,0.0026854795187,0.000363286018585
H_3,0.00505010704143,1.01295994651e-06
H_4,0.0431875835709,2.63787103381e-46
H_5,0.0909327130501,2.69394864586e-95
H_6,0.124452890004,1.53719863738e-129
H_7,0.00243411930888,0.000687620288593
H_max,0.0304750923174,3.37006112585e-33
H_median,0.0245657064084,4.32284438721e-27
S_0,0.155933790424,1.32018514427e-161
S_1,0.000284409580946,0.245904312884
S_2,0.11027009537,4.59664412457e-115
S_4,0.151847339433,1.89729338577e-157
S_5,0.00613859415774,7.03818491296e-08
S_6,0.158936791091,1.16503610706e-164
S_7,0.115420912182,2.52970493483e-120
S_max,0.176271942389,2.81900489305e-182
S_min,0.161504519303,2.8534111079e-167
S_median,0.238892087814,1.05158690749e-245
V_0,0.147044375902,1.46707900895e-152
V_1,0.239964903934,8.66869365344e-247
V_2,0.0196467984673,5.38831002039e-22
V_3,0.000700263567543,0.0686475896358
V_4,0.0284562911323,4.10158102577e-31
V_5,0.109645453008,1.99718799053e-114
V_6,0.173014531799,5.73306783894e-179
V_7,0.014812151785,5.68583089829e-17
V_max,0.232964792569,1.0279997973e-239
V_min,0.0839881201689,3.45871125543e-88
V_median,0.0400213676535,4.80966055757e-43
