,f_score,p_score
B_0,0.367140576697,3.23077618137e-136
B_1,0.48470663366,6.6565721518e-179
B_2,0.103570470691,6.94438780272e-40
B_3,0.0423737711424,2.72115456868e-17
B_4,0.0506348379158,2.34780189643e-20
B_5,0.00535501757358,0.00263396266233
B_6,0.00157315215718,0.10307305913
B_7,0.000206657749134,0.554629344727
B_max,0.575362356406,1.02239462338e-211
B_min,0.000306302563662,0.471948830641
B_median,0.147330120834,5.88269684189e-56
G_0,0.699001317582,2.48318082081e-256
G_1,0.533794123313,1.10878276522e-196
G_2,0.491895619979,1.65179283177e-181
G_3,0.271076309977,3.207006496e-101
G_4,0.427357146344,4.2338966312e-158
G_5,0.562073884045,6.51768088725e-207
G_6,0.0805956649656,2.00203124113e-31
G_7,8.46265937932e-07,0.969839898056
G_min,2.00049336893e-05,0.854148517831
G_median,0.448901959793,6.41476854858e-166
R_0,0.490516706309,5.21954029601e-181
R_1,0.414783281981,1.55849968254e-153
R_2,0.375994308657,1.94678142308e-139
R_3,0.186318694786,3.03992902754e-70
R_4,0.11048263216,1.99414497677e-42
R_5,0.126359959492,2.92311013092e-48
R_6,0.1321280082,2.2282296619e-50
R_7,0.016483393245,1.31927282025e-07
R_max,0.680689538511,9.83735318022e-250
R_min,0.0513278868688,1.29991493368e-20
R_median,0.381810930862,1.49407301184e-141
H_0,0.00583934207168,0.00168624122805
H_1,0.0199275698366,6.58799592965e-09
H_2,0.000391032751893,0.416370849687
H_3,9.75742268216e-05,0.684753581746
H_4,0.000153811882132,0.610243043534
H_5,0.0031010876682,0.0220962700954
H_6,0.0164646994126,1.34097217905e-07
H_7,0.0134977235675,1.80105601314e-06
H_max,0.107354661252,2.81752277715e-41
H_min,7.73105652826e-05,0.717816729028
H_median,0.0278538926753,6.97903041581e-12
S_0,0.0459640600918,1.26529567248e-18
S_1,0.317977845594,2.54513993303e-118
S_2,0.105398725573,1.47631198525e-40
S_3,0.363608515686,6.22476458693e-135
S_4,0.0537041382163,1.71367581981e-21
S_5,0.216358194713,3.10779567998e-81
S_6,0.0379892710332,1.15959835013e-15
S_7,0.0200983318334,5.68060430581e-09
S_max,0.131127141332,5.1927757045e-50
S_min,0.113128212896,2.12433963213e-43
S_median,0.0734616951359,8.56174277059e-29
V_0,0.454921997227,4.19904922147e-168
V_1,0.423787631664,8.37078166521e-157
V_2,0.301545771215,2.47619258811e-112
V_3,0.128320741276,5.56941101709e-49
V_4,0.082944952544,2.7259323795e-32
V_5,0.0711791251498,5.95539829231e-28
V_6,0.101563121224,3.80257626698e-39
V_7,0.0126228558934,3.88846604103e-06
V_max,0.672386618519,9.67396074312e-247
V_min,0.0418071584603,4.41770435915e-17
V_median,0.352142110185,9.24937641662e-131
