,f_score,p_score
B_0,0.0120881786056,8.9216326774e-07
B_1,0.048358728775,8.71688584761e-23
B_2,0.0284525777347,4.76869680318e-14
B_3,0.219317542037,5.79666468828e-97
B_4,0.353679059521,7.98084864242e-155
B_5,0.0738331810808,6.59763682708e-34
B_6,0.0327047715071,6.39781020943e-16
B_7,0.00727877556209,0.000137104920148
B_max,0.0226348067648,1.77136681073e-11
B_min,0.044560911161,4.00878493978e-21
G_0,0.057306118635,1.06872171857e-26
G_1,0.0436194931012,1.03612782764e-20
G_2,0.00980067171716,9.65270522466e-06
G_3,0.0250822873216,1.46491735427e-12
G_4,0.15492901008,4.03180598055e-69
G_5,0.351713590081,5.57638572982e-154
G_6,0.107143056592,2.13690262352e-48
G_7,0.00240351064611,0.0284249888785
G_max,0.0748595242204,2.35617938896e-34
G_min,0.00378484921226,0.00596188471646
G_median,0.0761231892541,6.63286881937e-35
R_0,0.108134288676,7.92940209937e-49
R_1,0.0464414451921,6.01910294532e-22
R_2,0.0412787939148,1.09969045331e-19
R_3,0.0706812729323,1.55967749061e-32
R_4,0.169491419331,2.00028130038e-75
R_5,0.293085211213,9.10358146174e-129
R_6,0.229867703853,1.61735538425e-101
R_7,0.045462596022,1.61479226584e-21
R_max,0.139792415283,1.45760997321e-62
R_min,0.135424394139,1.14074023356e-60
R_median,0.244835188565,5.63569844731e-108
H_0,0.0675182973613,3.73308051198e-31
H_1,0.00159991599892,0.0737914840222
H_2,0.000475940553184,0.329480830914
H_3,0.0118337001399,1.16173391224e-06
H_4,0.43719797394,1.20046733249e-190
H_5,0.629336049718,1.13851490977e-272
H_6,0.360018318692,1.51115969836e-157
H_7,0.00295886813565,0.0150412430983
H_max,0.0132042715667,2.80877912709e-07
H_median,0.346962004736,6.13383053516e-152
S_0,0.0665472820176,9.89786609081e-31
S_1,0.149512100377,8.95008042324e-67
S_2,0.00964672087388,1.13389570645e-05
S_3,0.485535236188,2.47839902738e-211
S_4,0.126653864252,7.25638158181e-57
S_5,0.0113343846618,1.95140262472e-06
S_6,0.0795615498978,2.10963131576e-36
S_7,0.0175088397176,3.3425835773e-09
S_max,0.0270069021046,2.0701853076e-13
S_min,0.0120909196131,8.8963071566e-07
S_median,0.118296644852,3.06877933373e-53
V_0,0.0613598650446,1.81497117877e-28
V_1,0.0656884144726,2.3450649758e-30
V_2,0.0191246664983,6.38572785304e-10
V_3,0.00657969923778,0.00028827997724
V_4,0.0231568832795,1.0404254594e-11
V_5,0.0399245365663,4.31653773723e-19
V_6,0.0715011142492,6.84989499935e-33
V_7,0.0147271989299,5.83215205431e-08
V_max,0.0808936019815,5.54902000069e-37
V_min,0.0563986724068,2.6622890214e-26
V_median,0.0286434909331,3.92862747372e-14
