,f_score,p_score
B_0,0.00311704872426,0.00195633641892
B_1,0.0584918403354,5.60635305567e-41
B_2,0.137408418794,1.24346050562e-93
B_3,0.13986844959,2.87395114409e-95
B_4,0.0010616307692,0.0707113020318
B_5,0.00270772583234,0.00389784409294
B_6,0.0027775000077,0.00346385045483
B_7,0.00309280887518,0.00203744975472
B_max,0.0113186709484,3.62304125771e-09
B_min,0.00552178732095,3.76253184965e-05
B_median,0.238102335833,2.1088286026e-160
G_0,0.0844304127476,2.51752308315e-58
G_1,0.111037162672,4.48179891462e-76
G_2,0.0016261750572,0.0252982597268
G_3,0.000993079623711,0.0804633462889
G_4,0.449792101555,1.37403740456e-299
G_6,0.32653336362,9.85903315613e-219
G_7,0.00188672095743,0.0159810937403
G_max,0.101997633803,4.75776931923e-70
G_min,0.005086319691,7.62915553043e-05
G_median,0.0455750475486,2.57006493896e-32
R_0,0.146755743769,7.57156045286e-100
R_1,0.146580463011,9.90153230618e-100
R_2,0.0289586627318,3.87277305907e-21
R_3,0.0103870390954,1.58074167244e-08
R_4,0.083284856708,1.46590637071e-57
R_5,0.381381929268,8.93242013606e-255
R_6,0.431079457669,2.40157761081e-287
R_7,0.106580030631,4.18933578252e-73
R_max,0.178042762292,1.26413400271e-120
R_min,0.295945167452,1.37762016578e-198
R_median,0.0602263783822,3.86304002317e-42
H_0,0.0387812559494,9.42057484055e-28
H_1,0.000361711758495,0.291444601656
H_2,0.000284800345295,0.34921923599
H_3,0.0130431479592,2.38926978635e-10
H_4,0.0639605485534,1.22123234188e-44
H_5,0.161070196175,2.33404560886e-109
H_6,0.260878951044,1.87866394983e-175
H_7,0.00105638761256,0.0714104172931
H_max,2.48022009155e-06,0.930387245053
H_median,0.103942579677,2.40158829043e-71
S_0,0.146668924515,8.64764589902e-100
S_1,0.148621822807,4.35311519119e-101
S_2,0.0810580855194,4.50441824464e-56
S_4,0.352813509072,5.14636268559e-236
S_5,0.0262137118244,2.7582238242e-19
S_6,0.186161118003,5.21102601344e-126
S_7,0.141397166113,2.76613076882e-96
S_max,0.0820106318851,1.04058436918e-56
S_min,0.0579765986141,1.24117072624e-40
S_median,0.186637480708,2.51787488198e-126
V_0,0.119209341193,1.61158470172e-81
V_1,0.156354147509,3.16728137027e-106
V_2,0.0149573195702,1.17964282117e-11
V_3,0.000559768045408,0.189394836634
V_4,0.0400502144135,1.32139151025e-28
V_5,0.181259652948,9.28396886639e-123
V_6,0.288878840998,6.27499411216e-194
V_7,0.0839558556368,5.22307941426e-58
V_max,0.14481553609,1.47571484281e-98
V_min,0.251115341567,5.28565086143e-169
V_median,0.0129388997337,2.81537468342e-10
