,f_score,p_score
B_0,0.0304545417789,0.000697269873568
B_1,0.0129873273045,0.0268109401052
B_2,0.00269036531103,0.313542986051
B_3,0.0234164044353,0.00294727845835
B_4,0.133674452496,1.22501785346e-12
B_5,0.0374608841271,0.000169599128762
B_6,0.0130590434661,0.0263940472187
B_7,0.00191610385519,0.395034995763
B_max,0.0264243307109,0.00158659390201
B_min,0.00186779929123,0.401058228545
B_median,0.094049869848,2.55488070995e-09
G_0,0.112398784972,7.36484900448e-11
G_1,0.0896434582991,6.00196450222e-09
G_2,0.000310596165058,0.732025368557
G_3,0.0562004298204,4.10787141153e-06
G_4,0.771447726328,3.75424244411e-65
G_5,0.857765956754,3.23951672572e-72
G_6,0.558765938708,1.0203339021e-47
G_7,0.00434735178061,0.200154694809
G_max,0.100256651121,7.68489200029e-10
G_min,0.0142061355523,0.0205678165553
G_median,0.223656544362,4.08297539665e-20
R_0,0.200029012652,3.70773971026e-18
R_1,0.143589570365,1.82390937167e-13
R_2,0.0546770375528,5.54575803148e-06
R_3,0.0467028813031,2.68415538019e-05
R_4,0.203992816768,1.73942067484e-18
R_5,0.498646514642,8.82784014902e-43
R_6,0.414475845325,7.35451352974e-36
R_7,0.221744114359,5.87984493382e-20
R_max,0.19423123264,1.1221745431e-17
R_min,0.497384029651,1.12093921176e-42
R_median,0.135678577507,8.33423059762e-13
H_0,0.0140975028168,0.0210573774082
H_1,0.00012158577217,0.830352985603
H_2,0.0227229122243,0.00340240790786
H_3,0.0236836589287,0.00278885062543
H_4,0.0011093387044,0.517531360191
H_5,0.00343036807336,0.255117130086
H_6,0.0231119008087,0.00313896968924
H_7,0.0473119891592,2.37862781408e-05
H_max,0.00684783504706,0.107864948553
H_min,0.0100142782289,0.0518500410612
H_median,0.00312606180817,0.277319550492
S_0,0.0611921577309,1.53974469973e-06
S_1,0.000338577747918,0.720698928696
S_2,0.136158713986,7.59971308602e-13
S_3,0.161931044982,5.41400736607e-15
S_4,1.0,7.64023968669e-84
S_5,0.193064057472,1.40251213075e-17
S_6,0.180373398621,1.58658427059e-16
S_7,0.980243724932,3.14234557248e-82
S_max,0.0290791316498,0.000922325915102
S_min,0.0749422724963,1.04614705803e-07
S_median,1.49046377958e-06,0.981074938651
V_0,0.186202540186,5.20486474349e-17
V_1,0.148654445225,6.90053133055e-14
V_2,0.0500721556942,1.37682526973e-05
V_3,0.0298924899036,0.000781629260353
V_4,0.141731468523,2.60572324695e-13
V_5,0.271468845115,4.52980763895e-24
V_6,0.282121530797,5.97106987406e-25
V_7,0.147779296854,8.1620937765e-14
V_max,0.19106708455,2.05411297798e-17
V_min,0.35954068133,2.45423437759e-31
V_median,0.0801573616423,3.78894323463e-08
