,f_score,p_score
B_0,0.0237804125949,2.78179074308e-18
B_1,0.0259860438848,7.85451951539e-20
B_2,0.232901391527,4.23073343209e-163
B_3,0.163265905622,3.89297176555e-115
B_4,0.00389468873575,0.000415801738054
B_5,0.00107395375479,0.0637890426386
B_6,0.00182925941288,0.0155554242634
B_7,0.00166772003257,0.0208935945414
B_max,0.0471945472688,1.15073175371e-34
B_min,0.00374350226327,0.000538847465138
B_median,0.283495205785,7.91959817347e-198
G_0,0.0504964264547,5.73156201437e-37
G_1,0.0751850715509,3.76609035124e-54
G_2,0.00969878572823,2.54924579786e-08
G_3,0.00142531804165,0.0327243563585
G_4,0.347916079195,6.60288230047e-242
G_6,0.21708336499,3.19412577877e-152
G_7,0.00205568478683,0.0103315256472
G_max,0.0694465617106,3.67227414568e-50
G_min,0.0055232248703,2.62869784808e-05
G_median,0.0369865015739,1.54801867733e-27
R_0,0.0994360828822,5.53510569332e-71
R_1,0.120478604761,1.46309354717e-85
R_2,0.00748960078802,9.8442534444e-07
R_3,0.00234640199704,0.00614642472837
R_4,0.0564302467937,4.20024265497e-41
R_5,0.297685568934,1.49934088031e-207
R_6,0.363592937132,1.30688977699e-252
R_7,0.0699434246794,1.65747407145e-50
R_max,0.130323819578,2.25184935569e-92
R_min,0.200716296859,5.89345210408e-141
R_median,0.04129212387,1.51683598291e-30
H_0,0.0272378628922,1.03901089088e-20
H_1,0.00190768697939,0.0134925864625
H_2,0.00333579395777,0.00108771689293
H_3,0.00579813360366,1.65647786004e-05
H_4,0.0774508709042,1.00353157132e-55
H_5,0.164394802008,6.47293487097e-116
H_6,0.314598149802,3.96061901467e-219
H_7,0.00885946451726,1.01804217342e-07
H_max,0.00475896779059,9.54592101327e-05
H_median,0.0907493414816,5.8661875548e-65
S_0,0.154650218387,3.45771512581e-109
S_1,0.171418245409,9.21852912198e-121
S_2,0.0246746995829,6.54592650612e-19
S_4,0.187082936735,1.45546203794e-131
S_5,0.00607112497068,1.04818903903e-05
S_6,0.19036867905,7.91782220256e-134
S_7,0.0234354906422,4.8614053619e-18
S_max,0.0969380724548,2.98757691408e-69
S_min,0.0900802844553,1.70848410612e-64
S_median,0.257240973972,8.07969092324e-180
V_0,0.0746804032715,8.44507767511e-54
V_1,0.123953635434,5.75517900786e-88
V_2,0.000803029581171,0.108959867558
V_3,0.000483533010676,0.213571993223
V_4,0.0292120849461,4.2869376541e-22
V_5,0.14610274072,2.77632821486e-103
V_6,0.251298886892,9.70368622921e-176
V_7,0.0564285502626,4.21168683749e-41
V_max,0.0984589622848,2.63418786293e-70
V_min,0.179325888883,3.24053315595e-126
V_median,0.00793984840603,4.66319336478e-07
