,f_score,p_score
B_0,0.634239071807,8.40120574952e-283
B_1,0.431899930011,6.78709210646e-194
B_2,0.337856040353,2.3472224272e-152
B_3,0.232347332377,1.40755390146e-105
B_4,0.263639334046,1.79741921541e-119
B_5,0.0829478228959,5.93169025762e-39
B_6,0.0819422885512,1.67432264128e-38
B_7,0.121654538652,2.85366175328e-56
B_min,0.280160929563,8.43426032546e-127
G_0,0.635328798067,2.80019784441e-283
G_1,0.409405937426,5.68021417377e-184
G_2,0.62619603285,2.79673989921e-279
G_3,0.45332910994,2.43273260758e-203
G_4,0.212056695104,1.47008872486e-96
G_5,0.080847951731,5.18027433267e-38
G_6,0.0968917366079,3.37489022096e-45
G_7,0.0348511905922,2.54501016021e-17
G_min,0.0684030389662,1.98060029679e-32
G_median,0.505835944378,1.87114483104e-226
R_0,0.42343236899,3.68136707259e-190
R_1,0.303827190357,2.73206050211e-137
R_2,0.416895946585,2.81477233052e-187
R_3,0.212814774598,6.76466968081e-97
R_4,0.101181548143,4.06030953264e-47
R_5,0.0717642058738,6.14109497151e-34
R_6,0.0321379490193,4.30272806868e-16
R_7,0.0286198472123,1.69230478758e-14
R_max,0.56202576895,3.83272175197e-251
R_min,0.0482997706544,2.16707417605e-23
R_median,0.375118743813,7.84805181404e-169
H_0,0.000282596276555,0.445734871329
H_1,0.0196186869124,2.11796107051e-10
H_2,0.00824514372539,3.8113719257e-05
H_3,0.00106707228339,0.138405623349
H_4,0.163380191675,6.87020059024e-75
H_5,0.223738307547,9.42078224683e-102
H_6,0.206862120618,3.00282197145e-94
H_7,0.0173270666026,2.37082627732e-09
H_max,0.0321420330668,4.28444204371e-16
H_min,0.510969630807,1.03391261478e-228
H_median,0.138204324803,1.16241870588e-63
S_0,0.00176335140396,0.0568078604099
S_1,0.0978807519218,1.21790406559e-45
S_2,0.0369761713849,2.78517003785e-18
S_3,0.0089916929718,1.70014721724e-05
S_4,0.000121580243791,0.616958106333
S_5,0.0114043478125,1.27444500034e-06
S_6,0.000896222574054,0.174475460282
S_7,0.143473108692,5.17852377165e-66
S_max,6.88335394243e-05,0.706662448881
S_min,0.0091928233773,1.36853929461e-05
S_median,0.0202143941962,1.13166831538e-10
V_0,0.446602938904,2.23921635278e-200
V_1,0.275160843315,1.39144274872e-124
V_2,0.354481597556,1.03927451104e-159
V_3,0.235603039896,5.03590289913e-107
V_4,0.17243983191,6.30983293536e-79
V_5,0.0986309566004,5.62177547573e-46
V_6,0.0741900673031,5.01039244454e-35
V_7,0.112767115593,2.67415537865e-52
V_max,0.631206789418,1.78716464286e-281
V_min,0.199126544931,8.29405022022e-91
V_median,0.601347720188,2.16086964473e-268
