,f_score,p_score
B_0,0.0103735721986,4.7896215215e-10
B_1,0.0264618483571,2.75513384207e-23
B_2,0.169786270796,2.52525683323e-139
B_3,0.105067457974,3.97274775624e-87
B_4,0.000212919678357,0.372344217337
B_5,0.00426741364965,6.50970775709e-05
B_6,0.00348877443911,0.000305130428423
B_7,0.0019380975765,0.00711536118298
B_max,0.0253487009,2.24560037474e-22
B_min,0.00380981527668,0.000161056778118
B_median,0.165237680358,1.15552081011e-135
G_0,0.0677909629306,6.17066193489e-57
G_1,0.0881697794264,1.86891253091e-73
G_2,0.00686173694769,4.11034126554e-07
G_3,0.000140247975309,0.469054050519
G_6,0.304417147706,3.59456404476e-247
G_7,0.0027206822889,0.00142878070252
G_max,0.0845992985921,1.45643082943e-70
G_min,0.00767535582432,8.53127711902e-08
G_median,0.066629599436,5.4052746459e-56
R_0,0.130518608136,1.10161981005e-107
R_1,0.141452274942,1.67198528659e-116
R_2,0.0144076223279,2.18839395691e-13
R_3,0.00694109255571,3.52504707709e-07
R_4,0.0863136424854,5.95298169353e-72
R_5,0.377229283206,4.07995807711e-305
R_7,0.103105393419,1.53330358542e-85
R_max,0.160124902385,1.50892497196e-131
R_min,0.278506350957,1.73466937552e-226
R_median,0.0614028294328,9.4661635303e-52
H_0,0.0278674284866,1.95068934723e-24
H_1,0.00130547508308,0.0271808039603
H_2,0.000483859646815,0.178688410231
H_3,0.00917443910027,4.76815876661e-09
H_4,0.0562329608576,1.50028969346e-47
H_5,0.133849536302,2.26272853398e-110
H_6,0.212526982768,1.15369375966e-173
H_7,0.00169495198678,0.0118384294177
H_max,0.00199747970009,0.0062891143334
H_median,0.0751829922747,6.22846398576e-63
S_0,0.153176565112,5.95114356829e-126
S_1,0.128592713374,3.94599371203e-106
S_2,0.043044556337,8.04439032319e-37
S_4,0.326023196976,2.15766925029e-264
S_5,0.0229277605625,2.1611951057e-20
S_6,0.214624627334,2.39469016223e-175
S_7,0.103541358358,6.80897092329e-86
S_max,0.092965303595,2.4505482782e-77
S_min,0.0990872806814,2.72602031238e-82
S_median,0.196485847694,8.68668533644e-161
V_0,0.103249323829,1.17283301499e-85
V_1,0.145721647844,6.04791318551e-120
V_2,0.00451132449851,4.02471230446e-05
V_3,0.000181997473423,0.409500853777
V_4,0.0488505358088,1.51060612188e-41
V_5,0.188565886741,2.00242699101e-154
V_6,0.29273067577,7.59158702302e-238
V_7,0.0789517232459,5.4862391992e-66
V_max,0.128143347148,9.09516994565e-106
V_min,0.235890522571,2.14606786696e-192
V_median,0.0173229490495,8.65937111961e-16
