,f_score,p_score
B_0,0.000928416436422,0.164360383427
B_1,0.109729034046,1.53478350974e-51
B_2,0.209493077137,1.47623439779e-96
B_3,0.139420825319,5.78473765382e-65
B_4,2.01479777784e-05,0.837689362494
B_5,0.00315276547614,0.0103938224322
B_6,0.00134687188181,0.0939617910226
B_7,0.000193311831048,0.525738287843
B_max,0.00302727334411,0.0120412992569
B_min,0.000226189430082,0.492482579948
B_median,0.180320148485,2.03698379287e-83
G_0,0.175693717533,2.47995010611e-81
G_1,0.32773499233,1.19482900559e-149
G_2,0.00533830785814,0.000855197310658
G_3,0.0334737832358,6.97991043479e-17
G_4,0.0399752055464,7.40548251481e-20
G_5,0.377583078758,5.86057198084e-172
G_6,0.065038118294,2.82388665144e-31
G_7,7.81192791336e-05,0.686679175432
G_max,0.245707178764,7.61195438847e-113
G_min,7.7782766865e-05,0.687319006121
G_median,0.00660776891913,0.00020761305042
R_0,0.219142836671,6.70809061629e-101
R_1,0.38498677473,2.87044502542e-175
R_2,0.0777300270907,4.85721318937e-37
R_3,0.00254343851471,0.0213602439778
R_4,0.000597248840713,0.264717529006
R_5,0.0301202059526,2.40545345866e-15
R_6,0.080873229437,1.82024052656e-38
R_7,0.00544067625749,0.000762398206118
R_max,0.29553258541,3.24894800077e-135
R_min,0.0251362574997,4.68987730586e-13
R_median,0.00457555664336,0.00202242071145
H_0,0.0123516593266,3.9466640999e-07
H_1,0.00282231826625,0.0153316899299
H_2,0.00635236392058,0.000275641445201
H_3,0.0077506575049,5.8807007252e-05
H_4,0.0476244869847,2.38758145754e-23
H_5,0.0765897004099,1.5993475893e-36
H_6,0.0748657129739,9.69459499515e-36
H_7,0.00329339000449,0.00881970108014
H_max,0.0353427963684,9.72875386e-18
H_min,0.259030355396,7.86125637348e-119
H_median,0.0201045436572,9.81071789362e-11
S_0,0.195449218978,3.1079166331e-90
S_1,0.00148919042606,0.0782174787047
S_2,0.0994829597496,6.67921923218e-47
S_4,0.318438868035,1.74735430408e-145
S_5,0.000306163576987,0.424558086674
S_6,0.240955811035,1.0400308219e-110
S_7,0.225025755642,1.5138438081e-103
S_max,0.206114847579,4.89614147178e-95
S_min,0.196344476615,1.22816008005e-90
S_median,0.256027555968,1.75526400555e-117
V_0,0.183889855697,5.01405993752e-85
V_1,0.402849392852,2.99051311635e-183
V_2,0.0479857974335,1.63382231731e-23
V_3,0.000713933845352,0.222692015043
V_4,0.00141697344858,0.0858163212569
V_5,0.011391470352,1.11349603487e-06
V_6,0.0547987668739,1.2852402344e-26
V_7,0.00375085547994,0.00519102782364
V_max,0.261893649337,4.06874295227e-120
V_min,0.0197273493437,1.46592543225e-10
V_median,0.00102086580962,0.144800519646
