,f_score,p_score
B_0,0.275614905317,5.67906984467e-41
B_1,0.174451120469,1.446678436e-26
B_2,0.0690613413023,1.89808101403e-11
B_3,0.261358721936,6.04064492199e-39
B_4,0.317066484874,7.34282053583e-47
B_5,0.0424339751781,1.41763978388e-07
B_6,0.0104770122141,0.00891393991696
B_7,0.000684109062219,0.503930865302
B_max,0.456861591477,1.11948163785e-66
B_min,0.00060764346092,0.528785505858
B_median,1.0,2.93373828016e-143
G_0,0.37819873405,1.55901229455e-55
G_1,0.341325105772,2.64697868982e-50
G_2,0.372791055817,9.1111478549e-55
G_3,0.116708649554,2.62760679556e-18
G_4,6.40669132324e-05,0.837946401952
G_5,0.00110894659232,0.394828665155
G_6,0.012581276031,0.00415757451132
G_7,0.000162379465384,0.744725877189
G_max,0.569187842843,1.45517423182e-82
G_min,8.50411596539e-06,0.94060171167
G_median,0.069688150701,1.54039448474e-11
R_0,0.201195033822,2.2175044583e-30
R_1,0.286690317105,1.51456501805e-42
R_2,0.247707616792,5.2813122879e-37
R_3,0.0614204595926,2.42783189112e-10
R_4,0.00676622966493,0.0355728261519
R_5,0.1391607943,1.59746397747e-21
R_6,0.152021426523,2.31283383555e-23
R_7,0.0618292093003,2.11802257626e-10
R_max,0.308418466253,1.24111456356e-45
R_min,0.201387968281,2.08144444601e-30
R_median,0.0392900947776,4.0995589654e-07
H_0,0.0111572107518,0.00695701017495
H_1,0.0137996769481,0.0026864537472
H_2,0.00662852039724,0.037499900166
H_3,0.0044216462081,0.0893084544393
H_4,0.0739719243007,3.70100125834e-12
H_5,0.112998868207,8.94757627928e-18
H_6,0.207294371353,2.99655176824e-31
H_7,0.00700942992091,0.032418309783
H_max,0.109901648978,2.48981985657e-17
H_min,0.298796964849,2.88613134564e-44
H_median,0.165929756218,2.38221279076e-25
S_0,0.00642512871712,0.0405486347045
S_1,0.98676150321,2.12619008301e-141
S_2,0.14447468195,2.77477117758e-22
S_3,0.0150447018877,0.00172455645107
S_4,0.0461483612342,4.05582067016e-08
S_5,0.178538065388,3.77652143876e-27
S_6,0.00275379509436,0.179965674999
S_7,0.13059573861,2.68834885335e-20
S_max,0.0939302677184,4.91101398073e-15
S_min,0.0808182946754,3.80154707404e-13
S_median,0.00120245212044,0.375595737912
V_0,0.198400791049,5.54838592687e-30
V_1,0.278966685582,1.89619262926e-41
V_2,0.183081092485,8.48944374442e-28
V_3,0.0560816649601,1.44701131459e-09
V_4,5.34448355974e-05,0.851818468946
V_5,0.02941491477,1.17602460022e-05
V_6,0.0669050909695,3.89403458741e-11
V_7,0.0473624200072,2.69603170913e-08
V_max,0.345609742526,6.52866732325e-51
V_min,0.17129066493,4.08809886458e-26
V_median,0.0953463313467,3.07228486931e-15
